DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,BUJARU,Amazônia,10,0.0,0.61,-1.62764,-47.9878,16.8
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,SANTO ANTÔNIO DO TAUÁ,Amazônia,3,0.0,0.33,-1.13798,-48.10407,15.1
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,PRIMAVERA,Amazônia,37,0.0,0.81,-0.90084,-47.17056,12.9
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,PRIMAVERA,Amazônia,36,0.0,0.8,-0.89852,-47.1763,10.4
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,45,0.0,1.0,-3.37892,-47.81658,19.7
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,18,0.0,1.0,-3.34151,-49.04979,51.4
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,18,0.0,1.0,-3.33853,-49.0289,25.4
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,19,0.0,1.0,-3.32834,-49.05147,159.5
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,19,0.0,1.0,-3.32539,-49.03065,70.6
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,PARAGOMINAS,Amazônia,19,0.0,1.0,-3.31108,-48.02869,13.6
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,69,0.0,1.0,-3.20803,-48.66037,199.5
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,69,0.0,1.0,-3.20753,-48.6672,142.1
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,67,0.0,1.0,-3.20475,-48.64795,51.8
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,51,0.0,1.0,-2.95271,-48.61803,19.9
